scenario,mean Sed,store (m^3),fill (%),fill (m)
100,109126.99,641591,17.00880935,0.629874345
90,135954.27,641591,21.19017723,0.784719772
80,182667.26,641591,28.47098229,1.054344308
70,185131.03,641591,28.85499173,1.068565038
60,230686.58,641591,35.95539526,1.3315089
50,239969.67,641591,37.4022812,1.385090331
40,282316.51,641591,44.00256706,1.629513714
30,307825.2,641591,47.97841616,1.77674832
20,313709.62,641591,48.89557678,1.810712834
10,365864.91,641591,57.02463252,2.111749994
0,426707.45,641591,66.50770506,2.462929432
high,289287.11,641591,45.08902245,1.669747593
mid,314946.18,641591,49.08831015,1.817850184
low,355269.16,641591,55.37315205,2.05059197
